Pilgrim's Path	Protectorate	You have proficiency in the History, Religion, and Survival skills	Requiem																							
Firearms Training	Rhulic	You have proficiency with carbines.	Requiem																							
Master Craftsman	Rhulic	You have proficiency with tinker's tools. You can craft magic items in 50 gp increments instead of the normal 25 gp increments, and you can craft mundane items in 15 gp increments instead of the normal 5 gp increments.	Requiem																							
Oathbound	Rhulic	Rhulfolk of lawful alignment (the vast majority) take their oaths seriously and have been conditioned over millennia to obey them. A formal oath taken by a Rhulfolk dwarf cannot intentionally be broken in any way, nor do Rhulfolk look for loopholes to do so. When performing a task directly related to a sworn oath, you receive a +1 bonus on all skill checks.	Requiem																							
Ceaseless Stamina	Troll	Trollkin do not tire easily and can undertake long marches or perform grueling physical labor for far longer than most races. You ignore the effects of exhaustion until you have suffered 3 or more levels of exhaustion. When you finish a long rest, your exhaustion level is reduced by 3 instead of 1.	Requiem																							
Trollkin Toughness	Troll	You have advantage on saving throws against poison and disease, and you have resistance to poison damage.	Requiem																							
Born to Be Wild	Troll/Pygmy	You have proficiency in the Survival skill.	Requiem																							
Regenerative	Troll/Pygmy	Trollkin heal at a much faster rate than other races, especially when feasting and resting. When you roll a 1 or 2 when spending a Hit Die to regain hit points at the end of a short rest, you can reroll the die but must use the new roll, even if it is a 1 or 2.	Requiem																							
Woodland Survivalist	Woodland	Non-magical difficult terrain within forests doesn't slow your travel. Additionally, you have advantage on Survival (Wisdom) checks to hunt wild game within forests.	Requiem																							
Beneath Notice	City/Bogrin/Lightfoot	Gobbers and Bogrin are often overlooked due to their small size and ability to pass unnoticed. You are proficient in the Stealth skill. Additionally, when you perform the Disengage action, after moving you can attempt to perform the Hide action to remain hidden from any creature you have concealment against.	Requiem																							
Nimbleness	Gobber/Bogrin	You can move through the space of any creature whose size is larger than yours.	Requiem																							
Superior Darkvision	Gobber/Bogrin	You can see in dim light within 120 feet of you as if it were bright light and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.	Requiem																							
Gift of the Wurm	Tharn	As a bonus action, you can transform to manifest the bestial gift of the Devourer Wurm. When you transform, you gain 1d8 temporary hit points. This transformation lasts for 1 minute, until you lose all these temporary hit points, or until you revert to your normal form as a bonus action. You also gain additional benefits based on your Tharn subrace, described below. The amount of temporary hit points increases to 2d8 at 6th Level, 3d8 at 11th level, and 4d8 at 16th level. While you are transformed, you can speak only Molgur, and you cannot cast a spell with a verbal component. Once you transform, you can't do so again until you finish a short or long rest.	TDH																							
Heart Eater	Tharn	As an action, you can rip out and consume the heart of a disabled creature that is not a construct or undead. When you consume a heart, you can either regain one expended hit die or replenish 1d8 temporary hit points granted by the Gift of the Wurm. Once you use this trait, you can't use it again until you finish a long rest.	TDH																							
Shadow Hunter	Stalker	You have proficiency in the Acrobatics and Stealth skills.	TDH																							
Lurker	Stalker	While transformed, your walking speed increases by 5 feet, and you can attempt to hide even when you are only lightly obscured by foliage, heavy rain, falling snow, mist, and other natural phenomena. Additionally, you can roll a d4 and add the result to your Dexterity (Stealth) checks.	TDH																							
Athletic	Ravager	You have proficiency in the Athletics skill.	TDH																							
Bite	Ravager	Your fanged maw is a natural weapon, which you can use to make unarmed strikes. If you hit with it, you deal piercing damage equal to 1d6 + your Strength modifier instead of the normal bludgeoning damage for an unarmed strike.	TDH																							
Howler	Ravager	While transformed, you magically increase in size. While enlarged, your size is Large and you deal a bonus 1d4 weapon damage on Strength-based weapon attacks. If you lack the room to become Large, you attain the maximum size possible in the space available. Additionally, while transformed, when you score a critical hit with a melee weapon attack, you can roll one of the weapon's damage dice one additional time and add it to the extra damage of the critical hit.	TDH																							
Damage Resistance	Dragonborn	You have resistance to the damage type associated with your ancestry.	PHB																							
Breath Weapon	Dragonborn	You can use your action to exhale destructive energy. It deals damage in an area according to your ancestry. When you use your breath weapon, all creatures in the area must make a saving throw, the type of which is determined by your ancestry. The DC of this saving throw is 8 + your Constitution modifier + your proficiency bonus. A creature takes 2d6 damage on a failed save, and half as much damage on a successful one. The damage increase to 3d6 at 6th level, 4d6 at 11th, and 5d6 at 16th level. After using your breath weapon, you cannot use it again until you complete a short or long rest.	PHB																							
